elo_rank,player,age,elo,helo,celo,gelo,atp_rank
446,Priska Madelyn Nugroho,23.1,1307.9,1295.4,1335.1,1404.0,398
447,Daria Lodikova,29.4,1307.8,1234.1,1301.1,1328.9,606
448,Raluka Serban,29.1,1307.7,1340.9,1282.9,1336.7,376
449,Jessica Pieri,29.2,1307.6,1262.8,1300.4,1318.3,326
450,Ekaterina Ovcharenko,25.6,1307.5,1264.4,1301.0,1328.7,564
451,Victoria Allen,25.4,1306.9,1286.2,1268.5,1248.9,436
452,Ana Sofia Sanchez,32.2,1306.4,1275.9,1309.1,1302.3,413
453,Ellie Schoppe,24.6,1305.3,1312.0,1243.4,1327.7,768
454,Dayeon Back,24.5,1305.3,1260.9,1286.8,1327.7,268
455,Sofia Rocchetti,23.9,1304.7,1252.8,1292.1,1327.3,558
456,Lia Karatancheva,22.9,1304.7,1228.1,1292.7,1327.3,379
457,Alina Granwehr,23.0,1304.2,1267.1,1286.6,1327.1,317
458,Beatrise Zeltina,19.4,1304.1,1229.0,1308.5,1327.1,451
459,Antonia Vergara Rivera,19.7,1303.7,1266.8,1282.5,1326.8,369
460,Anastasia Tikhonova,25.5,1303.1,1279.9,1269.2,1403.1,262
461,Joelle Lilly Sophie Steur,22.3,1299.7,1295.5,1265.6,1324.8,331
462,Maria Kozyreva,27.1,1296.0,1307.6,1248.8,1265.9,586
463,Meiqi Guo,26.2,1295.7,1251.4,1274.5,1322.8,630
464,Diletta Cherubini,24.2,1292.5,1231.3,1276.3,1321.3,378
465,Aneta Laboutkova,26.2,1290.6,1219.4,1265.0,1320.3,412
466,Cristina Diaz Adrover,20.3,1290.4,1217.7,1289.0,1320.2,659
467,Maria Florencia Urrutia,25.3,1289.8,1259.9,1279.5,1319.9,467
468,Sofia Johnson,,1289.3,1264.9,1236.4,1308.8,459
469,Alessandra Mazzola,26.6,1287.2,1258.6,1272.1,1318.6,390
470,Lucia Cortez Llorca,26.1,1285.7,1167.9,1332.2,1317.8,468
471,Valentini Grammatikopoulou,29.4,1284.9,1257.2,1300.7,1247.7,470
472,Mell Elizabeth Reasco Gonzalez,24.0,1284.7,1344.6,1240.4,1392.3,338
473,Sofia Elena Cabezas Dominguez,24.2,1283.1,1302.3,1197.0,1316.5,505
474,Madison Sieg,23.1,1279.7,1273.5,1227.9,1314.8,355
475,Ariana Arseneault,24.1,1279.1,1268.4,1225.1,1297.1,382
476,Nahia Berecoechea,22.2,1278.9,1217.3,1280.8,1314.4,512
477,Elina Nepliy,28.7,1278.8,1251.7,1298.0,1314.4,496
478,Andreea Prisacariu,26.4,1275.9,1241.0,1252.4,1313.0,503
479,Tiphanie Fiquet,26.2,1275.6,1254.0,1272.3,1312.8,402
480,Carla Markus,20.2,1275.1,1252.6,1265.2,1312.6,528
481,Indianna Spink,23.7,1273.2,1264.7,1251.6,1285.3,631
482,Alice Robbe,25.9,1272.4,1217.8,1329.2,1300.5,864
483,Pia Lovric,24.3,1270.7,1272.7,1267.1,1385.3,541
484,Yasmine Mansouri,25.2,1270.1,1287.5,1137.4,1310.1,380
